route_id,agency_id,route_short_name,route_long_name,route_type
2,TUB,2,PONTE DE PRADO - BOM JESUS,3
3,TUB,3,AVENIDA CENTRAL - RUÃES,3
5,TUB,5,DUME - QUINTA DA CAPELA,3
6,TUB,6,AVENIDA GENERAL NORTON DE MATOS - GONDIZALVES/SEMELHE,3
7,TUB,7,S. MAMEDE D' ESTE - CELEIRÓS,3
8,TUB,8,RUA 25 DE ABRIL - SETE FONTES,3
9,TUB,9,RUÃES - NOGUEIRA (BARRAL),3
12,TUB,12,AVENIDA DA LIBERDADE - LAGEOSA/PEDRALVA VIA GUALTAR,3
13,TUB,13,AVENIDA GENERAL NORTON DE MATOS- LAGEOSA/PEDRALVA,3
14,TUB,14,PRAÇA CONDE DE AGROLONGO - PRISCOS,3
18,TUB,18,RUA DO RAIO - PINHEIRO DO BICHO VIA ESPORÕES,3
19,TUB,19,AREAL - BOAVISTA,3
20,TUB,20,AVENIDA DA LIBERDADE - ESCUDEIROS VIA PONTE NOVA,3
21,TUB,21,PRAÇA CONDE DE AGROLONGO - TADIM,3
23,TUB,23,AVENIDA GENERAL NORTON DE MATOS - ESPINHO/SAMEIRO,3
24,TUB,24,SEQUEIRA - GUALTAR,3
31,TUB,31,RUA 25 DE ABRIL - S. MAMEDE D' ESTE (ROLA),3
32,TUB,32,PRAÇA CONDE DE AGROLONGO - AVELEDA,3
33,TUB,33,AVENIDA CENTRAL - CABREIROS,3
34,TUB,34,AVENIDA DA LIBERDADE - GUISANDE,3
35,TUB,35,PRAÇA CONDE DE AGROLONGO - TEBOSA/GUISANDE,3
36,TUB,36,AVENIDA GENERAL NORTON DE MATOS - S. JULIÃO DE PASSOS,3
37,TUB,37,AVENIDA GENERAL NORTON DE MATOS - CUNHA/ARENTIM,3
38,TUB,38,RUA DO RAIO - MORREIRA,3
39,TUB,39,RUA DO RAIO - TRANDEIRAS VIA ESPORÕES,3
40,TUB,40,CIRCUITO URBANO I,3
41,TUB,41,CIRCUITO URBANO II,3
42,TUB,42,RESIDÊNCIA UNIVERSITÁRIA - UNIVERSIDADE DO MINHO,3
43,TUB,43,ESTAÇÃO CF - UNIVERSIDADE DO MINHO,3
