stop_id,stop_name,stop_lat,stop_lon,zone_id
1,"BOM JESUS",41.554462,-8.381193,1
2,"REPÚBLICA II",41.553543,-8.383646,1
3,"REPÚBLICA I",41.555836,-8.385874,1
4,"LUSÍADAS III ",41.557829,-8.391278,1
5,"LUSÍADAS II",41.556872,-8.394008,1
6,"LUSÍADAS I ",41.556094,-8.395412,1
7,"JOÃO PAULO II (INL)",41.555159,-8.401123,1
8,"JOÃO PAULO II (PARQUE RODOVIA)",41.554134,-8.403511,1
9,"JOÃO PAULO II (PISCINAS)",41.551557,-8.409611,1
10,"JOÃO XXI (C AMARANTE)",41.550391,-8.412413,1
11,"JOÃO XXI (31 DE JANEIRO)",41.549460,-8.414636,1
12,"CENTRAL IV",41.551860,-8.421896,1
13,"A HERCULANO (PENEDOS)",41.554063,-8.423612,1
15,"S MARTINHO (VIADUTO)",41.553759,-8.430258,1
16,"IRMÃOS ROBY",41.551400,-8.433107,1
17,"NOVA ESTAÇÃO I",41.549251,-8.434851,1
18,"COSTA GOMES I",41.553741,-8.436741,1
19,"COSTA GOMES II",41.553903,-8.440414,1
20,"COSTA GOMES III (S FRUTUOSO)",41.556564,-8.441819,1
21,"COSTA GOMES IV",41.558405,-8.444840,1
22,"COSTA GOMES V",41.559628,-8.446474,1
23,"CIMA II",41.564183,-8.449716,1
24,"BAIXO I",41.566325,-8.450525,1
25,"BAIXO II (LIMITE 1/2)",41.568377,-8.451051,1
26,"RAMOA",41.570931,-8.452004,2
27,"PATEIRA I",41.573167,-8.452606,2
28,"PATEIRA II",41.575954,-8.452955,2
29,"PATEIRA III",41.579137,-8.453194,2
30,"CARMO I (CAPELA)",41.582040,-8.453871,2
31,"CARMO II",41.585255,-8.455255,2
32,"CARMO III (VIEIRA)",41.587338,-8.456655,2
33,"PRESA I",41.590056,-8.458449,2
34,"PRESA II",41.592704,-8.460301,2
35,"CARMO II",41.586000,-8.455819,2
36,"BAIXO I",41.565944,-8.450496,1
37,"CIMA II",41.564357,-8.449926,1
39,"COSTA GOMES III (S FRUTUOSO)",41.556904,-8.442421,1
40,"COSTA GOMES I",41.553840,-8.437619,1
41,"ROTUNDA ESTAÇÃO I",41.549127,-8.434159,1
42,"CAIRES",41.545599,-8.433762,1
43,"CAIRES",41.546327,-8.433485,1
47,"CONDE AGROLONGO III",41.552832,-8.426627,1
48,"LIBERDADE (IGREJA S LÁZARO II)",41.546750,-8.420400,1
49,"JOÃO XXI (31 DE JANEIRO I) ",41.548450,-8.416286,1
50,"FEITAL II",41.559539,-8.447282,1
51,"JOÃO PAULO II (PISCINAS)",41.551131,-8.410154,1
53,"JOÃO PAULO II (PARQUE RODOVIA)",41.553754,-8.403827,1
54,"JOÃO PAULO II (INL)",41.555188,-8.400393,1
55,"LUSÍADAS I",41.555986,-8.395839,1
56,"D JOÃO II",41.553872,-8.395221,1
57,"D JOÃO II II",41.553842,-8.394971,1
58,"REPÚBLICA II",41.553333,-8.384117,1
59,"REPÚBLICA I",41.555537,-8.386674,1
60,"LUSÍADAS III ",41.557473,-8.390830,1
61,"LUSÍADAS IV (TENÕES)",41.556966,-8.388947,1
62,"LUSÍADAS IV (TENÕES)",41.556118,-8.388640,1
63,"FONTENÁRIO",41.496914,-8.463764,2
64,"BAIXO II (LIMITE 2/1)",41.568368,-8.451130,2
66,"NORTON MATOS I",41.555217,-8.424519,1
68,"QUINTA SANTA MARIA (FÁBRICA)",41.539271,-8.435828,1
69,"CONS JANUÁRIO (IGREJA)",41.556143,-8.421504,1
70,"CONS JANUÁRIO (SÁ DE MIRANDA)",41.557056,-8.418748,1
71,"CONS JANUÁRIO (SÁ DE MIRANDA)",41.556946,-8.419201,1
72,"GABRIEL P CASTRO I",41.555966,-8.422210,1
73,"INFIAS",41.557990,-8.417325,1
74,"CABANAS",41.559439,-8.418493,1
75,"CONFEITEIRA I (ESCOLA PROFISSIONAL)",41.564249,-8.419776,1
76,"CONFEITEIRA II (CABANAS)",41.566027,-8.420376,1
77,"CONFEITEIRA III",41.570924,-8.423078,1
78,"MANUEL J MACHADO I ",41.572800,-8.424762,1
79,"MANUEL J MACHADO II",41.572593,-8.428145,1
80,"JOGO DA BOLA",41.571858,-8.429689,1
81,"ALFREDO J SOUSA I",41.570114,-8.430794,1
82,"S ROSENDO (DUME)",41.568033,-8.434335,1
83,"S FRUTUOSO (CARCAVELOS)",41.567452,-8.437674,1
84,"RECTA FEITAL I",41.564902,-8.440429,1
85,"RECTA FEITAL II",41.563333,-8.442361,1
