route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
2,1,2_307,BOM JESUS,0,4
2,1,2_310,BOM JESUS,0,4
2,1,2_313,BOM JESUS,0,4
2,1,2_316,BOM JESUS,0,4
2,1,2_390,PONTE DE PRADO,1,6
2,1,2_393,PONTE DE PRADO,1,6
2,1,2_396,PONTE DE PRADO,1,6
2,1,2_434,AVENIDA DA LIBERDADE,0,5
2,1,2_488,AVENIDA JOAO XXI,0,3
2,2,2_338,BOM JESUS,0,4
2,2,2_341,BOM JESUS,0,4
2,2,2_344,BOM JESUS,0,4
2,2,2_347,BOM JESUS,0,4
2,2,2_460,BOM JESUS,0,4
2,2,2_463,BOM JESUS,0,4
2,2,2_482,PONTE DE PRADO,1,6
2,3,2_366,BOM JESUS,0,4
2,3,2_369,BOM JESUS,0,4
2,3,2_417,PONTE DE PRADO,1,6
2,3,2_420,PONTE DE PRADO,1,6
2,3,2_423,PONTE DE PRADO,1,6
2,3,2_426,PONTE DE PRADO,1,6
2,3,2_450,AVENIDA CENTRAL,1,8
2,3,2_459,BOM JESUS,0,4
2,3,2_462,BOM JESUS,0,4
2,3,2_481,PONTE DE PRADO,1,6
2,3,2_487,PONTE DE PRADO,1,6
2,3,2_490,AVENIDA DA LIBERDADE,0,5
3,2,3_62,AVENIDA CENTRAL,1,12
3,2,3_65,AVENIDA CENTRAL,1,12
3,2,3_68,AVENIDA CENTRAL,1,12
3,2,3_71,AVENIDA CENTRAL,1,12
3,2,3_102,AVENIDA CENTRAL,1,13
3,3,3_45,RUÃES ,0,10
3,3,3_92,CRUZAMENTO DE TIBÃES,0,11
3,3,3_98,AVENIDA CENTRAL,1,13
3,3,3_101,AVENIDA CENTRAL,1,13
5,1,5_432,QUINTA DA CAPELA (FORÇAS ARMADAS),0,
5,1,5_434,DUME (ENTRE-PORTAS),1,
5,1,5_446,QUINTA DA CAPELA (FORÇAS ARAMDAS),0,14
5,1,5_449,QUINTA DA CAPELA (FORÇAS ARAMDAS),0,14
5,1,5_452,QUINTA DA CAPELA (FORÇAS ARAMDAS),0,14
5,1,5_455,QUINTA DA CAPELA (FORÇAS ARAMDAS),0,14
5,1,5_488,DUME,1,23
5,1,5_491,DUME,1,23
5,1,5_494,DUME,1,23
5,1,5_506,AVENIDA CENTRAL,1,
5,2,5_286,QUINTA DA CAPELA (FORÇAS ARMADAS),0,19
5,2,5_289,QUINTA DA CAPELA (FORÇAS ARMADAS),0,19
5,2,5_292,QUINTA DA CAPELA (FORÇAS ARMADAS),0,19
5,2,5_339,DUME,1,20
5,2,5_342,DUME,1,20
5,2,5_345,DUME,1,20
5,2,5_348,DUME,1,20
5,3,5_365,DUME,1,22
6,1,6_1,AVENIDA GENERAL NORTON DE MATOS,1,26
6,1,6_30,AVENIDA GENERAL NORTON DE MATOS,1,29
6,1,6_33,AVENIDA GENERAL NORTON DE MATOS,1,29
7,1,7_243,CELEIRÓS,0,30
7,1,7_246,CELEIRÓS,0,30
7,1,7_249,CELEIRÓS,0,30
7,1,7_252,S. MAMEDE D' ESTE,1,33
7,1,7_275,S. MAMEDE D' ESTE,1,33
7,1,7_278,S. MAMEDE D' ESTE,1,33
7,2,7_193,S. MAMEDE D' ESTE,1,33
7,3,7_180,CELEIRÓS,0,30
7,3,7_183,CELEIRÓS,0,30
7,3,7_186,CELEIRÓS,0,30
7,3,7_189,CELEIRÓS,0,30
7,3,7_212,S. MAMEDE D' ESTE,1,33
7,3,7_215,S. MAMEDE D' ESTE,1,33
7,3,7_218,S. MAMEDE D' ESTE,1,33
8,2,8_94,SETE FONTES,0,36
9,1,9_32,NOGUEIRA (BARRAL),0,39
9,1,9_58,RUÃES,1,42
9,1,9_64,NOGUEIRA (BARRAL),0,39
12,1,12_23,SOBREPOSTA,0,44
13,1,13_15,AVENIDA GENERAL NORTON DE MATOS,1,55
13,1,13_36,PEDRALVA,0,52
13,1,13_39,PEDRALVA,0,52
13,1,13_42,PEDRALVA,0,52
14,1,14_132,OLIVEIRA VIA PRISCOS,0,62
18,1,18_80,PINHEIRO DO BICHO VIA ESPORÕES,0,74
18,1,18_132,RUA DO RAIO,1,76
18,1,18_135,RUA DO RAIO,1,76
18,1,18_138,RUA DO RAIO,1,76
18,1,18_141,RUA DO RAIO,1,76
18,2,18_102,PINHEIRO DO BICHO VIA ESPORÕES,0,74
18,2,18_105,PINHEIRO DO BICHO VIA ESPORÕES,0,74
18,2,18_108,PINHEIRO DO BICHO VIA ESPORÕES,0,74
18,2,18_111,PINHEIRO DO BICHO VIA ESPORÕES,0,74
18,4,18_174,RUA DO RAIO,1,
18,4,18_177,RUA DO RAIO,1,
18,4,18_180,RUA DO RAIO,1,
19,1,19_73,BOAVISTA,0,80
19,1,19_79,BOAVISTA,0,80
19,1,19_95,AREAL,1,81
19,1,19_101,AREAL,1,81
20,1,20_4,ESCUDEIROS,0,83
2,1,2_305,BOM JESUS,0,4
2,1,2_308,BOM JESUS,0,4
2,1,2_331,BOM JESUS,0,4
2,1,2_372,PONTE DE PRADO,1,6
2,1,2_375,PONTE DE PRADO,1,6
2,1,2_395,PONTE DE PRADO,1,6
2,1,2_452,BOM JESUS,0,2
2,1,2_453,AVENIDA DA LIBERDADE,0,1
2,2,2_333,BOM JESUS,0,4
2,2,2_336,BOM JESUS,0,4
2,2,2_339,BOM JESUS,0,4
2,2,2_400,PONTE DE PRADO,1,6
2,2,2_403,PONTE DE PRADO,1,6
2,2,2_489,AVENIDA DA LIBERDADE,0,5
2,3,2_358,BOM JESUS,0,4
2,3,2_361,BOM JESUS,0,4
2,3,2_364,BOM JESUS,0,4
2,3,2_367,BOM JESUS,0,4
2,3,2_425,PONTE DE PRADO,1,6
2,3,2_428,PONTE DE PRADO,1,6
