service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
平日50,1,1,1,1,1,0,0,20260901,20260930
平日55,1,1,1,1,1,0,0,20260901,20260930
平日57,1,1,1,1,1,0,0,20260901,20260930
平日60,1,1,1,1,1,0,0,20260901,20260930
平日64,1,1,1,1,1,0,0,20260901,20260930
平日70,1,1,1,1,1,0,0,20260901,20260930
平日72,1,1,1,1,1,0,0,20260901,20260930
平日74,1,1,1,1,1,0,0,20260901,20260930
平日75,1,1,1,1,1,0,0,20260901,20260930
平日76,1,1,1,1,1,0,0,20260901,20260930
平日77,1,1,1,1,1,0,0,20260901,20260930
平日78,1,1,1,1,1,0,0,20260901,20260930
平日80,1,1,1,1,1,0,0,20260901,20260930
平日81,1,1,1,1,1,0,0,20260901,20260930
日祭日50,0,0,0,0,0,0,1,20260901,20260930
日祭日55,0,0,0,0,0,0,1,20260901,20260930
日祭日57,0,0,0,0,0,0,1,20260901,20260930
日祭日60,0,0,0,0,0,0,1,20260901,20260930
日祭日64,0,0,0,0,0,0,1,20260901,20260930
日祭日70,0,0,0,0,0,0,1,20260901,20260930
日祭日72,0,0,0,0,0,0,1,20260901,20260930
日祭日74,0,0,0,0,0,0,1,20260901,20260930
日祭日75,0,0,0,0,0,0,1,20260901,20260930
日祭日77,0,0,0,0,0,0,1,20260901,20260930
日祭日78,0,0,0,0,0,0,1,20260901,20260930
日祭日80,0,0,0,0,0,0,1,20260901,20260930
土曜50,0,0,0,0,0,1,0,20260901,20260930
土曜55,0,0,0,0,0,1,0,20260901,20260930
土曜57,0,0,0,0,0,1,0,20260901,20260930
土曜60,0,0,0,0,0,1,0,20260901,20260930
土曜64,0,0,0,0,0,1,0,20260901,20260930
土曜70,0,0,0,0,0,1,0,20260901,20260930
土曜72,0,0,0,0,0,1,0,20260901,20260930
土曜74,0,0,0,0,0,1,0,20260901,20260930
土曜75,0,0,0,0,0,1,0,20260901,20260930
土曜77,0,0,0,0,0,1,0,20260901,20260930
土曜78,0,0,0,0,0,1,0,20260901,20260930
土曜81,0,0,0,0,0,1,0,20260901,20260930
平日50_0003_○,1,1,1,1,1,0,0,20260901,20260930
平日75_0003_○,1,1,1,1,1,0,0,20260901,20260930
平日76_0003_○,1,1,1,1,1,0,0,20260901,20260930
平日60_0009_◇,1,1,1,1,1,0,0,20260901,20260930
平日74_0014_△,1,1,1,1,1,0,0,20260901,20260930
日祭日74_0014_△,0,0,0,0,0,0,1,20260901,20260930
土曜74_0014_△,0,0,0,0,0,1,0,20260901,20260930
平日72_0016_▽,1,1,1,1,1,0,0,20260901,20260930
日祭日60_0025_＃,0,0,0,0,0,0,1,20260901,20260930
土曜60_0025_＃,0,0,0,0,0,1,0,20260901,20260930
平日81_0037_岩,0,0,1,0,0,0,0,20260901,20260930
平日81_0045_三,1,1,1,1,1,0,0,20260901,20260930
日祭日81_0046_春,0,0,0,0,0,0,1,20260901,20260930
