service_id,date,exception_type
日祭日80,20260905,1
日祭日80,20260912,1
日祭日80,20260919,1
平日50,20260921,2
平日55,20260921,2
平日57,20260921,2
平日60,20260921,2
平日64,20260921,2
平日70,20260921,2
平日72,20260921,2
平日74,20260921,2
平日75,20260921,2
平日76,20260921,2
平日77,20260921,2
平日78,20260921,2
平日80,20260921,2
平日81,20260921,2
日祭日50,20260921,1
日祭日55,20260921,1
日祭日57,20260921,1
日祭日60,20260921,1
日祭日64,20260921,1
日祭日70,20260921,1
日祭日72,20260921,1
日祭日74,20260921,1
日祭日75,20260921,1
日祭日77,20260921,1
日祭日78,20260921,1
日祭日80,20260921,1
平日50_0003_○,20260921,2
平日75_0003_○,20260921,2
平日76_0003_○,20260921,2
平日60_0009_◇,20260921,2
平日74_0014_△,20260921,2
日祭日74_0014_△,20260921,1
平日72_0016_▽,20260921,2
日祭日60_0025_＃,20260921,1
平日81_0037_岩,20260921,2
平日81_0045_三,20260921,2
日祭日81_0046_春,20260921,1
平日50,20260922,2
平日55,20260922,2
平日57,20260922,2
平日60,20260922,2
平日64,20260922,2
平日70,20260922,2
平日72,20260922,2
平日74,20260922,2
平日75,20260922,2
平日76,20260922,2
平日77,20260922,2
平日78,20260922,2
平日80,20260922,2
平日81,20260922,2
日祭日50,20260922,1
日祭日55,20260922,1
日祭日57,20260922,1
日祭日60,20260922,1
日祭日64,20260922,1
日祭日70,20260922,1
日祭日72,20260922,1
日祭日74,20260922,1
日祭日75,20260922,1
日祭日77,20260922,1
日祭日78,20260922,1
日祭日80,20260922,1
平日50_0003_○,20260922,2
平日75_0003_○,20260922,2
平日76_0003_○,20260922,2
平日60_0009_◇,20260922,2
平日74_0014_△,20260922,2
日祭日74_0014_△,20260922,1
平日72_0016_▽,20260922,2
日祭日60_0025_＃,20260922,1
平日81_0037_岩,20260922,2
平日81_0045_三,20260922,2
日祭日81_0046_春,20260922,1
平日50,20260923,2
平日55,20260923,2
平日57,20260923,2
平日60,20260923,2
平日64,20260923,2
平日70,20260923,2
平日72,20260923,2
平日74,20260923,2
平日75,20260923,2
平日76,20260923,2
平日77,20260923,2
平日78,20260923,2
平日80,20260923,2
平日81,20260923,2
日祭日50,20260923,1
日祭日55,20260923,1
日祭日57,20260923,1
日祭日60,20260923,1
日祭日64,20260923,1
日祭日70,20260923,1
日祭日72,20260923,1
日祭日74,20260923,1
日祭日75,20260923,1
日祭日77,20260923,1
日祭日78,20260923,1
日祭日80,20260923,1
平日50_0003_○,20260923,2
平日75_0003_○,20260923,2
平日76_0003_○,20260923,2
平日60_0009_◇,20260923,2
平日74_0014_△,20260923,2
日祭日74_0014_△,20260923,1
平日72_0016_▽,20260923,2
日祭日60_0025_＃,20260923,1
平日81_0037_岩,20260923,2
平日81_0045_三,20260923,2
日祭日81_0046_春,20260923,1
日祭日80,20260926,1
