stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2-2,,福島駅東口,,37.754883,140.460689,Z2-2,,0,,,
2-3,,福島駅東口,,37.754831,140.460694,Z2-3,,0,,,
2-5,,福島駅東口,,37.754647,140.460711,Z2-5,,0,,,
2-6,,福島駅東口,,37.754500,140.460767,Z2-6,,0,,,
2-7,,福島駅東口,,37.754497,140.460956,Z2-7,,0,,,
2-8,,福島駅東口,,37.754639,140.461000,Z2-8,,0,,,
2-9,,福島駅東口,,37.754782,140.460962,Z2-9,,0,,,
2-10,,福島駅東口,,37.754848,140.460945,Z2-10,,0,,,
2-11,,福島駅東口,,37.754661,140.460920,Z2-11,,0,,,
2-12,,福島駅東口,,37.754561,140.461078,Z2-12,,0,,,
2-13,,福島駅東口,あづま陸橋上,37.752819,140.460779,Z2-13,,0,,,
2-14,,福島駅東口,あづま陸橋上,37.752953,140.460754,Z2-14,,0,,,
3-1,,大町,,37.752858,140.465700,Z3-1,,0,,,
3-2,,大町,,37.752845,140.465553,Z3-2,,0,,,
3-3,,大町,,37.752858,140.465422,Z3-3,,0,,,
3-4,,大町,,37.752844,140.465244,Z3-4,,0,,,
4-1,,舟場町,,37.752421,140.471089,Z4-1,,0,,,
4-2,,舟場町,,37.752419,140.470989,Z4-2,,0,,,
4-4,,舟場町,,37.753207,140.471613,Z4-4,,0,,,
5-1,,豊田町,ファミリーマート側,37.756100,140.473089,Z5-1,,0,,,
5-2,,豊田町,三宅新聞店側,37.756097,140.473378,Z5-2,,0,,,
6-1,,東高校前,,37.758533,140.474533,Z6-1,,0,,,
6-2,,東高校前,,37.758767,140.474933,Z6-2,,0,,,
7-1,,福島市役所入口,福島市役所側,37.760623,140.475716,Z7-1,,0,,,
7-2,,福島市役所入口,ドコモショップ側,37.761394,140.476402,Z7-2,,0,,,
8-1,,年金事務所入口,,37.763579,140.477389,Z8-1,,0,,,
8-2,,年金事務所入口,,37.762808,140.477211,Z8-2,,0,,,
9-1,,競馬場前,第三小学校側,37.766300,140.479057,Z9-1,,0,,,
9-2,,競馬場前,競馬場側,37.766963,140.479733,Z9-2,,0,,,
10-1,,日赤前,ヨークベニマル側,37.769538,140.481162,Z10-1,,0,,,
10-2,,日赤前,マクドナルド側,37.769521,140.481415,Z10-2,,0,,,
11-1,,岩谷下,,37.772339,140.483211,Z11-1,,0,,,
11-2,,岩谷下,,37.772447,140.483496,Z11-2,,0,,,
11-3,,岩谷下,,37.772015,140.484036,Z11-3,,0,,,
11-4,,岩谷下,,37.771863,140.484312,Z11-4,,0,,,
12-1,,グランド前,,37.776447,140.484643,Z12-1,,0,,,
12-2,,グランド前,,37.776247,140.484801,Z12-2,,0,,,
13-1,,上本内,,37.780630,140.486012,Z13-1,,0,,,
13-2,,上本内,,37.781067,140.486357,Z13-2,,0,,,
14-1,,本内,,37.786601,140.487135,Z14-1,,0,,,
14-2,,本内,,37.786577,140.487319,Z14-2,,0,,,
15-1,,卸商団地入口,,37.793306,140.488487,Z15-1,,0,,,
15-2,,卸商団地入口,,37.793291,140.488689,Z15-2,,0,,,
16-1,,福島学院前,,37.798406,140.489884,Z16-1,,0,,,
16-2,,福島学院前,,37.798558,140.490122,Z16-2,,0,,,
17-1,,瀬上本町,,37.802557,140.492005,Z17-1,,0,,,
17-2,,瀬上本町,,37.801462,140.491461,Z17-2,,0,,,
18-1,,瀬上中央,,37.806055,140.494529,Z18-1,,0,,,
18-2,,瀬上中央,,37.804596,140.493699,Z18-2,,0,,,
19-1,,瀬上橋,,37.808984,140.496602,Z19-1,,0,,,
19-2,,瀬上橋,,37.808194,140.496254,Z19-2,,0,,,
20-1,,川原町,,37.812487,140.499249,Z20-1,,0,,,
20-2,,川原町,,37.811490,140.498674,Z20-2,,0,,,
21-1,,田町,,37.814911,140.501001,Z21-1,,0,,,
21-2,,田町,,37.813490,140.500177,Z21-2,,0,,,
22-1,,伊達長岡,,37.818815,140.503779,Z22-1,,0,,,
22-2,,伊達長岡,,37.818699,140.503893,Z22-2,,0,,,
23-1,,北部長岡,,37.823202,140.506986,Z23-1,,0,,,
23-2,,北部長岡,,37.823148,140.507202,Z23-2,,0,,,
24-1,,伏黒入口,,37.829867,140.513713,Z24-1,,0,,,
24-2,,伏黒入口,,37.829817,140.513923,Z24-2,,0,,,
24-3,,伏黒入口,,37.830551,140.515746,Z24-3,,0,,,
25-1,,桑折落合,,37.835958,140.519230,Z25-1,,0,,,
25-2,,桑折落合,,37.835818,140.519385,Z25-2,,0,,,
26-1,,桑折本町,,37.844050,140.518727,Z26-1,,0,,,
26-2,,桑折本町,,37.843961,140.518824,Z26-2,,0,,,
27-1,,梁川新道入口,,37.846939,140.518496,Z27-1,,0,,,
27-2,,梁川新道入口,,37.847415,140.518542,Z27-2,,0,,,
28-1,,桑折上町,,37.850163,140.518243,Z28-1,,0,,,
28-2,,桑折上町,,37.850589,140.518348,Z28-2,,0,,,
29-1,,桑折駅入口,,37.852819,140.518428,Z29-1,,0,,,
29-2,,桑折駅入口,,37.852320,140.518461,Z29-2,,0,,,
30-1,,桑折分庁舎前,,37.855328,140.522440,Z30-1,,0,,,
30-2,,桑折分庁舎前,,37.855150,140.522623,Z30-2,,0,,,
31-1,,八幡前,,37.860910,140.525902,Z31-1,,0,,,
31-2,,八幡前,,37.860960,140.526277,Z31-2,,0,,,
32-1,,国重,,37.868505,140.536044,Z32-1,,0,,,
32-2,,国重,,37.868393,140.536216,Z32-2,,0,,,
33-1,,藤田総合病院,,37.872554,140.541214,Z33-1,,0,,,
34-1,,藤田南,,37.874788,140.543574,Z34-1,,0,,,
34-2,,藤田南,,37.874776,140.543766,Z34-2,,0,,,
35-1,,藤田北,,37.876331,140.545354,Z35-1,,0,,,
36-1,,国見役場,,37.876247,140.548059,Z36-1,,0,,,
36-2,,国見役場,,37.876308,140.548052,Z36-2,,0,,,
46-1,,藤田駅前,,37.879251,140.540558,Z46-1,,0,,,
51-1,,伊達交番,,37.820216,140.503617,Z51-1,,0,,,
51-2,,伊達交番,,37.820299,140.503495,Z51-2,,0,,,
66-1,,聖光学院前,,37.821589,140.496597,Z66-1,,0,,,
66-2,,聖光学院前,,37.821528,140.497427,Z66-2,,0,,,
67-1,,伊達駅入口,,37.822239,140.492049,Z67-1,,0,,,
68-1,,増田,,37.823488,140.485410,Z68-1,,0,,,
69-1,,東湯野,,37.824847,140.476809,Z69-1,,0,,,
69-2,,東湯野,,37.824897,140.476876,Z69-2,,0,,,
70-1,,明神町,,37.827218,140.465206,Z70-1,,0,,,
72-1,,湯野駅,,37.829492,140.456319,Z72-1,,0,,,
73-1,,伊達総合支所,,37.819864,140.507089,Z73-1,,0,,,
73-2,,伊達総合支所,,37.819769,140.507207,Z73-2,,0,,,
74-1,,箱崎,,37.819829,140.516693,Z74-1,,0,,,
74-2,,箱崎,,37.819728,140.516077,Z74-2,,0,,,
75-1,,柳原,,37.820202,140.523611,Z75-1,,0,,,
75-2,,柳原,,37.820147,140.523668,Z75-2,,0,,,
76-1,,伏黒,,37.820456,140.528277,Z76-1,,0,,,
76-2,,伏黒,,37.820396,140.528228,Z76-2,,0,,,
77-1,,下の台,,37.821119,140.540263,Z77-1,,0,,,
77-2,,下の台,,37.821062,140.540509,Z77-2,,0,,,
78-1,,保原バスセンター,,37.820883,140.552566,Z78-1,,0,,,
79-1,,保原晦日町,,37.826132,140.555405,Z79-1,,0,,,
79-2,,保原晦日町,,37.825648,140.555306,Z79-2,,0,,,
80-1,,大和,,37.829753,140.562353,Z80-1,,0,,,
81-1,,六万坊,,37.832603,140.568464,Z81-1,,0,,,
81-2,,六万坊,,37.832777,140.568864,Z81-2,,0,,,
82-1,,大立目,,37.836026,140.573125,Z82-1,,0,,,
83-1,,八百地,,37.838680,140.577065,Z83-1,,0,,,
84-1,,柳田,,37.841939,140.583742,Z84-1,,0,,,
84-2,,柳田,,37.841495,140.583305,Z84-2,,0,,,
85-1,,町の内,,37.845275,140.587872,Z85-1,,0,,,
86-1,,新開,,37.847714,140.591525,Z86-1,,0,,,
86-2,,新開,,37.847863,140.591805,Z86-2,,0,,,
87-1,,大舘,,37.851429,140.599671,Z87-1,,0,,,
87-2,,大舘,,37.851344,140.599613,Z87-2,,0,,,
89-1,,梁川中町,,37.853799,140.606004,Z89-1,,0,,,
89-2,,梁川中町,,37.853717,140.606046,Z89-2,,0,,,
90-1,,福祉会館前,,37.857100,140.607578,Z90-1,,0,,,
90-2,,福祉会館前,,37.857226,140.607687,Z90-2,,0,,,
91-1,,梁川見付,,37.859542,140.608296,Z91-1,,0,,,
91-2,,梁川見付,,37.858968,140.608198,Z91-2,,0,,,
92-1,,塩野川,,37.863631,140.608189,Z92-1,,0,,,
106-1,,大正橋,,37.827435,140.521127,Z106-1,,0,,,
107-1,,東小学校入口,,37.826183,140.523372,Z107-1,,0,,,
108-1,,伏黒診療所前,,37.825746,140.526006,Z108-1,,0,,,
108-2,,伏黒診療所前,,37.825730,140.525516,Z108-2,,0,,,
109-1,,平前,,37.826036,140.530156,Z109-1,,0,,,
111-1,,上ヶ戸,,37.826482,140.534269,Z111-1,,0,,,
111-2,,上ヶ戸,,37.826356,140.532765,Z111-2,,0,,,
112-1,,小幡,,37.823401,140.543140,Z112-1,,0,,,
113-1,,旭町,,37.821040,140.545476,Z113-1,,0,,,
113-2,,旭町,,37.820959,140.545478,Z113-2,,0,,,
114-1,,保原五丁目,,37.819245,140.552919,Z114-1,,0,,,
114-2,,保原五丁目,,37.819633,140.553112,Z114-2,,0,,,
115-1,,保原四丁目,,37.818215,140.552640,Z115-1,,0,,,
